Country, Variable, Unit, Symbol, "2020"
Angola, Industrial water withdrawal, 10^9 m3/year, I, 0.24
Angola, Industrial water withdrawal as % of total water withdrawal, %, I, 33.95
Angola, Irrigation water requirement, 10^9 m3/year, I, 0.04
Angola, Irrigation water withdrawal, 10^9 m3/year, I, 0.15
Angola, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 0.48
Angola, Municipal water withdrawal, 10^9 m3/year, I, 0.32
Angola, Municipal water withdrawal as % of total withdrawal, %, I, 45.27
Angola, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 195.15
Angola, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.32
Angola, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 138.48
Angola, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 129
Angola, SDG 6.4.2. Water Stress, %, E, 1.87
Angola, Total freshwater withdrawal, 10^9 m3/year, I, 0.71
Angola, Total water withdrawal, 10^9 m3/year, I, 0.71
Angola, Total water withdrawal per capita, m3/inhab/year, E, 21.47
Antigua and Barbuda, Agricultural water withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, Agricultural water withdrawal as % of total renewable water resources, %, I, 3.46
Antigua and Barbuda, Agricultural water withdrawal as % of total water withdrawal, %, I, 15.65
Antigua and Barbuda, Desalinated water produced, 10^9 m3/year, I, 0.01
Antigua and Barbuda, Fresh groundwater withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, Fresh surface water withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, Industrial water withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, Industrial water withdrawal as % of total water withdrawal, %, I, 21.74
Antigua and Barbuda, Irrigation water requirement, 10^9 m3/year, I, 
Antigua and Barbuda, Irrigation water withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 8.46
Antigua and Barbuda, Municipal water withdrawal, 10^9 m3/year, I, 0.01
Antigua and Barbuda, Municipal water withdrawal as % of total withdrawal, %, I, 62.61
Antigua and Barbuda, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 86.94
Antigua and Barbuda, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 2.06
Antigua and Barbuda, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 125.96
Antigua and Barbuda, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 98.08
Antigua and Barbuda, SDG 6.4.2. Water Stress, %, I, 8.46
Antigua and Barbuda, Total freshwater withdrawal, 10^9 m3/year, I, 
Antigua and Barbuda, Total water withdrawal, 10^9 m3/year, I, 0.01
Antigua and Barbuda, Total water withdrawal per capita, m3/inhab/year, E, 117.43
Antigua and Barbuda, Treated municipal wastewater, 10^9 m3/year, I, 
Argentina, Agricultural water withdrawal, 10^9 m3/year, I, 27.93
Argentina, Agricultural water withdrawal as % of total renewable water resources, %, I, 3.19
Argentina, Agricultural water withdrawal as % of total water withdrawal, %, I, 73.93
Argentina, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 20
Argentina, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.29
Argentina, Collected municipal wastewater, 10^9 m3/year, I, 1.6
Argentina, Desalinated water produced, 10^9 m3/year, I, 
Argentina, Direct use of treated municipal wastewater, 10^9 m3/year, I, 0.09
Argentina, Environmental Flow Requirements, 10^9 m3/year, I, 515.8
Argentina, Fresh groundwater withdrawal, 10^9 m3/year, I, 11.33
Argentina, Fresh surface water withdrawal, 10^9 m3/year, I, 26.36
Argentina, Industrial water withdrawal, 10^9 m3/year, I, 4
Argentina, Industrial water withdrawal as % of total water withdrawal, %, I, 10.59
Argentina, Irrigation water requirement, 10^9 m3/year, I, 12.23
Argentina, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 4.3
Argentina, Municipal water withdrawal, 10^9 m3/year, I, 5.85
Argentina, Municipal water withdrawal as % of total withdrawal, %, I, 15.48
Argentina, Not treated municipal wastewater, 10^9 m3/year, I, 2.17
Argentina, Number of municipal wastewater treatment facilities, , I, 25
Argentina, Produced municipal wastewater, 10^9 m3/year, I, 2.46
Argentina, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 28.18
Argentina, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.09
Argentina, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 54
Argentina, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 11.41
Argentina, SDG 6.4.2. Water Stress, %, E, 10.46
Argentina, Total freshwater withdrawal, 10^9 m3/year, I, 37.69
Argentina, Total water withdrawal, 10^9 m3/year, I, 37.78
Argentina, Total water withdrawal per capita, m3/inhab/year, E, 835.92
Argentina, Treated municipal wastewater, 10^9 m3/year, I, 0.29
Argentina, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.01
Armenia, Agricultural water withdrawal, 10^9 m3/year, , 1.99
Armenia, Agricultural water withdrawal as % of total renewable water resources, %, E, 25.61
Armenia, Agricultural water withdrawal as % of total water withdrawal, %, E, 70.34
Armenia, Collected municipal wastewater, 10^9 m3/year, , 0.11
Armenia, Desalinated water produced, 10^9 m3/year, I, 
Armenia, Direct use of agricultural drainage water, 10^9 m3/year, I, 
Armenia, Direct use of treated municipal wastewater, 10^9 m3/year, I, 
Armenia, Environmental Flow Requirements, 10^9 m3/year, I, 2.81
Armenia, Fresh groundwater withdrawal, 10^9 m3/year, , 1.39
Armenia, Fresh surface water withdrawal, 10^9 m3/year, , 1.44
Armenia, Industrial water withdrawal, 10^9 m3/year, , 0.19
Armenia, Industrial water withdrawal as % of total water withdrawal, %, E, 6.57
Armenia, Irrigation water requirement, 10^9 m3/year, I, 0.62
Armenia, Irrigation water withdrawal, 10^9 m3/year, , 1.31
Armenia, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 36.43
Armenia, Municipal water withdrawal, 10^9 m3/year, , 0.65
Armenia, Municipal water withdrawal as % of total withdrawal, %, E, 23.08
Armenia, Not treated municipal wastewater, 10^9 m3/year, I, 0.27
Armenia, Produced municipal wastewater, 10^9 m3/year, , 0.24
Armenia, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 14.83
Armenia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.17
Armenia, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 10.42
Armenia, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 3.5
Armenia, SDG 6.4.2. Water Stress, %, E, 57.09
Armenia, Total freshwater withdrawal, 10^9 m3/year, , 2.83
Armenia, Total water withdrawal, 10^9 m3/year, , 2.83
Armenia, Total water withdrawal per capita, m3/inhab/year, E, 954.7
Armenia, Treated municipal wastewater, 10^9 m3/year, , 0.05
Armenia, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.09
Armenia, Water withdrawal for aquaculture, 10^9 m3/year, , 0.68
Armenia, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, , 0.02
Australia, Agricultural water withdrawal, 10^9 m3/year, , 8.57
Australia, Agricultural water withdrawal as % of total renewable water resources, %, E, 1.74
Australia, Agricultural water withdrawal as % of total water withdrawal, %, E, 62.32
Australia, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 73.99
Australia, Collected municipal wastewater, 10^9 m3/year, , 2.06
Australia, Desalinated water produced, 10^9 m3/year, , 0.39
Australia, Direct use of agricultural drainage water, 10^9 m3/year, I, 0.04
Australia, Direct use of treated municipal wastewater, 10^9 m3/year, I, 0.14
Australia, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.14
Australia, Environmental Flow Requirements, 10^9 m3/year, I, 243.3
Australia, Fresh groundwater withdrawal, 10^9 m3/year, , 0.57
Australia, Fresh surface water withdrawal, 10^9 m3/year, , 8.07
Australia, Industrial water withdrawal, 10^9 m3/year, , 2.89
Australia, Industrial water withdrawal as % of total water withdrawal, %, E, 21.04
Australia, Irrigation water requirement, 10^9 m3/year, I, 3.89
Australia, Irrigation water withdrawal, 10^9 m3/year, , 8.47
Australia, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 1.76
Australia, Municipal water withdrawal, 10^9 m3/year, , 2.29
Australia, Municipal water withdrawal as % of total withdrawal, %, E, 16.64
Australia, Not treated municipal wastewater, 10^9 m3/year, I, 0.32
Australia, Number of municipal wastewater treatment facilities, , I, 580
Australia, Produced municipal wastewater, 10^9 m3/year, I, 2.09
Australia, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 109.28
Australia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.36
Australia, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 403
Australia, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 90.26
Australia, SDG 6.4.2. Water Stress, %, E, 3.47
Australia, Total freshwater withdrawal, 10^9 m3/year, , 8.64
Australia, Total water withdrawal, 10^9 m3/year, , 13.74
Australia, Total water withdrawal per capita, m3/inhab/year, E, 539.02
Australia, Treated municipal wastewater, 10^9 m3/year, , 2.06
Australia, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 1.58
Australia, Water withdrawal for aquaculture, 10^9 m3/year, , 
Australia, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 0.93
Austria, Agricultural water withdrawal, 10^9 m3/year, I, 0.08
Austria, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.1
Austria, Agricultural water withdrawal as % of total water withdrawal, %, E, 2.21
Austria, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 1.14
Austria, Collected municipal wastewater, 10^9 m3/year, I, 1.92
Austria, Desalinated water produced, 10^9 m3/year, I, 
Austria, Direct use of treated municipal wastewater, 10^9 m3/year, I, 
Austria, Environmental Flow Requirements, 10^9 m3/year, I, 41.51
Austria, Fresh groundwater withdrawal, 10^9 m3/year, I, 1.06
Austria, Fresh surface water withdrawal, 10^9 m3/year, I, 2.43
Austria, Industrial water withdrawal, 10^9 m3/year, I, 2.69
Austria, Industrial water withdrawal as % of total water withdrawal, %, E, 77.17
Austria, Irrigation water requirement, 10^9 m3/year, I, 0.06
Austria, Irrigation water withdrawal, 10^9 m3/year, I, 0.02
Austria, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 4.49
Austria, Municipal water withdrawal, 10^9 m3/year, I, 0.72
Austria, Municipal water withdrawal as % of total withdrawal, %, E, 20.62
Austria, Not treated municipal wastewater, 10^9 m3/year, I, 0.02
Austria, Not treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 
Austria, Number of municipal wastewater treatment facilities, , I, 1842
Austria, Produced municipal wastewater, 10^9 m3/year, I, 1.11
Austria, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 32.74
Austria, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 2.6
Austria, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 352.89
Austria, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 98.09
Austria, SDG 6.4.2. Water Stress, %, E, 9.64
Austria, Total freshwater withdrawal, 10^9 m3/year, I, 3.49
Austria, Total water withdrawal, 10^9 m3/year, E, 3.49
Austria, Total water withdrawal per capita, m3/inhab/year, E, 387.74
Austria, Treated municipal wastewater, 10^9 m3/year, I, 1.09
Austria, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.81
Austria, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, I, 1.04
Austria, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 0.06
Azerbaijan, Agricultural water withdrawal, 10^9 m3/year, I, 11.61
Azerbaijan, Agricultural water withdrawal as % of total renewable water resources, %, E, 33.49
Azerbaijan, Agricultural water withdrawal as % of total water withdrawal, %, E, 92.33
Azerbaijan, Environmental Flow Requirements, 10^9 m3/year, I, 12.03
Azerbaijan, Fresh groundwater withdrawal, 10^9 m3/year, I, 2.37
Azerbaijan, Fresh surface water withdrawal, 10^9 m3/year, I, 10.22
Azerbaijan, Industrial water withdrawal, 10^9 m3/year, I, 0.57
Azerbaijan, Industrial water withdrawal as % of total water withdrawal, %, E, 4.51
Azerbaijan, Irrigation water requirement, 10^9 m3/year, I, 3.62
Azerbaijan, Irrigation water withdrawal, 10^9 m3/year, I, 11.61
Azerbaijan, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 36.31
Azerbaijan, Municipal water withdrawal, 10^9 m3/year, I, 0.4
Azerbaijan, Municipal water withdrawal as % of total withdrawal, %, E, 3.16
Azerbaijan, Not treated municipal wastewater, 10^9 m3/year, I, 0.5
Azerbaijan, Produced municipal wastewater, 10^9 m3/year, I, 0.66
Azerbaijan, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 36.3
Azerbaijan, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.23
Azerbaijan, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 56.42
Azerbaijan, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 3.63
Azerbaijan, SDG 6.4.2. Water Stress, %, E, 55.6
Azerbaijan, Total freshwater withdrawal, 10^9 m3/year, I, 12.59
Azerbaijan, Total water withdrawal, 10^9 m3/year, E, 12.58
Azerbaijan, Total water withdrawal per capita, m3/inhab/year, E, 1240.63
Azerbaijan, Treated municipal wastewater, 10^9 m3/year, I, 0.16
Azerbaijan, Water withdrawal for aquaculture, 10^9 m3/year, I, 
Azerbaijan, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, I, 0.56
Azerbaijan, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 
Bahamas, Desalinated water produced, 10^9 m3/year, I, 0.01
Bahamas, Municipal water withdrawal, 10^9 m3/year, I, 0.03
Bahamas, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 271.51
Bahrain, Agricultural water withdrawal, 10^9 m3/year, I, 0.14
Bahrain, Agricultural water withdrawal as % of total renewable water resources, %, I, 124.74
Bahrain, Agricultural water withdrawal as % of total water withdrawal, %, I, 33.31
Bahrain, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 1.25
Bahrain, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.07
Bahrain, Collected municipal wastewater, 10^9 m3/year, I, 0.15
Bahrain, Desalinated water produced, 10^9 m3/year, I, 0.24
Bahrain, Direct use of treated municipal wastewater, 10^9 m3/year, I, 0.04
Bahrain, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.01
Bahrain, Fresh groundwater withdrawal, 10^9 m3/year, I, 0.16
Bahrain, Fresh surface water withdrawal, 10^9 m3/year, I, 
Bahrain, Industrial water withdrawal, 10^9 m3/year, I, 0.01
Bahrain, Industrial water withdrawal as % of total water withdrawal, %, I, 3.25
Bahrain, Irrigation water requirement, 10^9 m3/year, I, 0.04
Bahrain, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 133.71
Bahrain, Municipal water withdrawal, 10^9 m3/year, I, 0.28
Bahrain, Municipal water withdrawal as % of total withdrawal, %, I, 63.44
Bahrain, Not treated municipal wastewater, 10^9 m3/year, I, 0.07
Bahrain, Number of municipal wastewater treatment facilities, , I, 11
Bahrain, Produced municipal wastewater, 10^9 m3/year, I, 0.15
Bahrain, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 954.78
Bahrain, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.61
Bahrain, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 68.62
Bahrain, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 74.73
Bahrain, SDG 6.4.2. Water Stress, %, I, 133.71
Bahrain, Total freshwater withdrawal, 10^9 m3/year, I, 0.16
Bahrain, Total water withdrawal, 10^9 m3/year, I, 0.43
Bahrain, Total water withdrawal per capita, m3/inhab/year, E, 255.29
Bahrain, Treated municipal wastewater, 10^9 m3/year, I, 0.15
Bahrain, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.06
Bangladesh, Agricultural water withdrawal, 10^9 m3/year, I, 31.5
Bangladesh, Agricultural water withdrawal as % of total renewable water resources, %, I, 2.57
Bangladesh, Agricultural water withdrawal as % of total water withdrawal, %, I, 87.82
Bangladesh, Environmental Flow Requirements, 10^9 m3/year, I, 600.3
Bangladesh, Fresh groundwater withdrawal, 10^9 m3/year, I, 28.48
Bangladesh, Fresh surface water withdrawal, 10^9 m3/year, I, 7.39
Bangladesh, Industrial water withdrawal, 10^9 m3/year, I, 0.77
Bangladesh, Industrial water withdrawal as % of total water withdrawal, %, I, 2.15
Bangladesh, Irrigation water requirement, 10^9 m3/year, I, 24.56
Bangladesh, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 2.92
Bangladesh, Municipal water withdrawal, 10^9 m3/year, I, 3.6
Bangladesh, Municipal water withdrawal as % of total withdrawal, %, I, 10.04
Bangladesh, Produced municipal wastewater, 10^9 m3/year, I, 0.72
Bangladesh, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 101.52
Bangladesh, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.84
Bangladesh, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 41.58
Bangladesh, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 7.09
Bangladesh, SDG 6.4.2. Water Stress, %, E, 5.72
Bangladesh, Total freshwater withdrawal, 10^9 m3/year, I, 35.87
Bangladesh, Total water withdrawal, 10^9 m3/year, I, 35.87
Bangladesh, Total water withdrawal per capita, m3/inhab/year, E, 217.8
Barbados, Agricultural water withdrawal, 10^9 m3/year, I, 0.05
Barbados, Agricultural water withdrawal as % of total renewable water resources, %, I, 68.5
Barbados, Agricultural water withdrawal as % of total water withdrawal, %, I, 67.65
Barbados, Desalinated water produced, 10^9 m3/year, I, 0.01
Barbados, Industrial water withdrawal, 10^9 m3/year, I, 0.01
Barbados, Industrial water withdrawal as % of total water withdrawal, %, I, 7.65
Barbados, Irrigation water requirement, 10^9 m3/year, I, 0.01
Barbados, Irrigation water withdrawal, 10^9 m3/year, I, 0.05
Barbados, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 87.5
Barbados, Municipal water withdrawal, 10^9 m3/year, I, 0.02
Barbados, Municipal water withdrawal as % of total withdrawal, %, I, 24.69
Barbados, Produced municipal wastewater, 10^9 m3/year, I, 0.01
Barbados, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 63.92
Barbados, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.51
Barbados, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 147.24
Barbados, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 41.59
Barbados, SDG 6.4.2. Water Stress, %, I, 87.5
Barbados, Total freshwater withdrawal, 10^9 m3/year, I, 0.07
Barbados, Total water withdrawal, 10^9 m3/year, I, 0.08
Barbados, Total water withdrawal per capita, m3/inhab/year, E, 281.86
Barbados, Treated municipal wastewater, 10^9 m3/year, I, 
Belarus, Agricultural water withdrawal, 10^9 m3/year, , 0.37
Belarus, Agricultural water withdrawal as % of total renewable water resources, %, E, 0.63
Belarus, Agricultural water withdrawal as % of total water withdrawal, %, E, 27.61
Belarus, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 1.35
Belarus, Collected municipal wastewater, 10^9 m3/year, , 0.61
Belarus, Environmental Flow Requirements, 10^9 m3/year, I, 27.56
Belarus, Fresh groundwater withdrawal, 10^9 m3/year, , 0.8
Belarus, Fresh surface water withdrawal, 10^9 m3/year, , 0.53
Belarus, Industrial water withdrawal, 10^9 m3/year, , 0.41
Belarus, Industrial water withdrawal as % of total water withdrawal, %, E, 31
Belarus, Irrigation water requirement, 10^9 m3/year, I, 0.04
Belarus, Irrigation water withdrawal, 10^9 m3/year, I, 
Belarus, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 2.29
Belarus, Municipal water withdrawal, 10^9 m3/year, , 0.55
Belarus, Municipal water withdrawal as % of total withdrawal, %, E, 41.31
Belarus, Not treated municipal wastewater, 10^9 m3/year, I, 0.11
Belarus, Produced municipal wastewater, 10^9 m3/year, , 0.61
Belarus, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 39.57
Belarus, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.1
Belarus, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 56
Belarus, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 35.43
Belarus, SDG 6.4.2. Water Stress, %, E, 4.38
Belarus, Total freshwater withdrawal, 10^9 m3/year, , 1.33
Belarus, Total water withdrawal, 10^9 m3/year, , 1.33
Belarus, Total water withdrawal per capita, m3/inhab/year, E, 140.64
Belarus, Treated municipal wastewater, 10^9 m3/year, , 0.52
Belarus, Water withdrawal for aquaculture, 10^9 m3/year, , 0.19
Belarus, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, , 0.18
Belgium, Agricultural water withdrawal, 10^9 m3/year, I, 0.05
Belgium, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.3
